tilesize;CUDA;HIP;SYCL
32;460.918;459.682;691.39
64;1620;1621.08;1258.32
128;1534.45;1537.03;1226.73
256;1594.91;1553.03;1223.49
512;1635.01;1596.14;1288.98
1024;1451.41;1449.82;1195.89
