tiles;dim64;dim128;dim256;dim512;dim1024
2;203.65;318.691;419.428;417.053;376.388
4;346.882;413.166;408.712;385.341;383.883
8;392.284;408.392;406.875;374.416;385.307
16;394.805;403.663;393.604;395.329;394.794
32;382.486;405.891;392.21;396.236;400.134
64;394.063;398.844;401.412;401.15;400.534
128;389.518;403.321;404.823;400.609;390.447
256;394.541;398.719;406.881;377.221;324.157
512;386.3;392.124;386.305;344.438;243.397
1024;355.924;378.97;355.107;297.737;146.847
