count;gflops-hc;gflops-hip
1;4666.61;4665.58
2;5116.54;5116.65
4;5414.39;5412.91
8;5583.04;5579.99
16;5581.5;5584.11
32;5614.56;5618
64;5636.58;5617.79
128;5645.96;5619.95
256;5528.66;5620.76
512;5113.55;5118.3
