blocks_per_sm;throughput-192;throughput-384;throughput-768
1;108.996;150.062;160.676
2;150.108;160.563;160.541
4;160.666;160.266;160.404
8;160.353;160.11;161.214
16;159.484;154.511;161.657
32;154.905;158.652;161.253
64;158.54;160.373;161.747
128;160.201;161.125;162.529
256;160.744;161.354;163.498
512;161.087;162.073;164.976
1024;161.564;163.879;168.507
2048;163.131;166.878;173.544
4096;166.71;171.21;176.886
8192;171.239;174.366;182.428
