count;CUDA;HIP;SYCL
1;1247.77;1247.67;1445.76
2;1818.78;1427.04;1433.63
4;1818.23;1722.92;1432.92
8;1819.14;1751.28;1433.54
16;1812.66;1782.88;1433.32
32;1794.67;1807.07;1435.44
64;1802.49;1804.57;1433.02
128;1817.81;1827.27;1432.04
256;1816.88;1692.66;1431.64
512;1816.26;1356.79;1432.59
1024;1817.71;1321.52;1432.19
