blocks_per_sm;throughput-192;throughput-384;throughput-768
1;106.558;148.169;161.607
2;148.504;161.567;160.018
4;161.598;160.098;159.973
8;159.986;160.078;159.844
16;160.108;155.861;160.559
32;155.387;158.9;160.88
64;158.94;160.094;161.257
128;159.942;160.568;161.932
256;160.874;161.318;162.96
512;161.176;161.81;164.297
1024;161.757;163.52;168.145
2048;163.567;166.804;172.617
4096;167.477;171.361;176.533
8192;171.369;174.798;183.059
