blocks_per_sm;throughput-192;throughput-384;throughput-768
1;171.612;177.381;178.713
2;177.375;177.694;177.224
4;178.23;177.062;176.947
8;177;165.678;175.931
16;165.149;173.748;175.641
32;172.782;174.09;177.294
64;173.794;175.621;177.84
128;174.635;177.646;178.51
256;177.662;178.527;179.292
512;177.637;179.732;180.356
1024;178.455;180.326;182.798
2048;180.084;182.712;185.562
4096;182.701;185.892;187.325
8192;186.522;187.121;187.104
