tilesize;CUDA;HIP;SYCL
32;264.329;264.401;421.896
64;1304.92;1312.2;924.295
128;1346.11;1350.17;962.122
256;1213.65;1223.71;936.845
512;1025.49;1027.15;809.258
1024;1049.32;1050.24;803.827
