count;gflops-hc;gflops-hip
1;4277.78;4317.07
2;4845.66;4863.79
4;5134.63;5157.11
8;5370.91;5406.46
16;5017.6;5035.97
32;5047.91;5060.21
64;5048.31;5064.97
128;5058.05;5067.39
256;4984.55;5059.36
512;4830.68;4865.72
