count;CUDA;HIP;SYCL
1;1072.73;985.714;1243.84
2;1482.09;1151.2;1265.86
4;1533.59;1387.22;1253.29
8;1555.06;1499.44;1259.57
16;1538.3;1518.79;1257.67
32;1534.08;1558.47;1255.78
64;1594.91;1553.03;1223.49
128;1523.28;1541.89;1261.77
256;1548.45;1352.63;1266.84
512;1563.02;1143.96;1238.16
1024;1548.36;1054.34;1239.5
