blocks_per_sm;throughput-192;throughput-384;throughput-768
1;166.527;176.896;178.48
2;176.665;177.622;177.182
4;178.166;176.838;176.329
8;176.899;165.182;176.197
16;164.842;173.228;175.599
32;170.849;174.484;177.893
64;173.661;176.122;178.751
128;176.464;178.289;178.949
256;177.458;179.019;180.153
512;177.329;179.507;180.594
1024;178.42;180.222;182.897
2048;180.08;182.71;185.437
4096;182.818;185.839;186.993
8192;186.218;187.333;187.089
