blocks_per_sm;throughput-192;throughput-384;throughput-768
1;166.454;177.166;178.639
2;177.034;177.71;177.203
4;177.83;176.566;176.608
8;177.006;165.012;176.379
16;165.153;173.698;175.679
32;170.74;174.379;177.445
64;174.025;176.152;178.684
128;175.679;178.236;178.809
256;177.426;178.627;179.923
512;177.277;179.316;180.847
1024;178.501;180.172;182.821
2048;180.045;182.597;185.372
4096;182.841;185.821;187.092
8192;186.395;187.18;186.936
